abbreviation,full_name,smiles_pubchem,smiles_opsin,smiles_cactus,smiles_final,doi
APB,"1,4-bis(4-aminophenoxy)benzene",C1=CC(=CC=C1N)OC2=CC=C(C=C2)OC3=CC=C(C=C3)N,NC1=CC=C(OC2=CC=C(C=C2)OC2=CC=C(C=C2)N)C=C1,nan,Nc1ccc(Oc2ccc(Oc3ccc(N)cc3)cc2)cc1,photopolymer.29.31
BAPP,"2,2'-bis[(4-aminophenoxy)phenyl]propane",C1CN(CCN1CCCN)CCCN,nan,nan,nan,photopolymer.29.31
BDAF,"2,2'-bis[(4-aminophenoxy)-phenyl]hexafluoropropane",CC1=CC=C(C=C1)C2(C3=CC=CC=C3C4=C2C=C(C=C4)C5=CC6=C(C=C5)C7=CC=CC=C7C6(C8=CC=C(C=C8)C)C9=CC=C(C=C9)C)C1=CC=C(C=C1)C,nan,nan,nan,photopolymer.29.31
3C10-PEBPDA;3C10-phenylester benzophenone diamine,"4-(3,5-diaminobenzoyl)phenyl 3,4,5-tris(decyloxy)benzoate",nan,C(CCCCCCCCC)OC=1C=C(C(=O)OC2=CC=C(C=C2)C(C2=CC(=CC(=C2)N)N)=O)C=C(C1OCCCCCCCCCC)OCCCCCCCCCC,nan,nan,photopolymer.30.163
"3,4'-ODPA;a-ODPA","3,4'-Oxydiphthalic anhydride",C1=CC2=C(C(=C1)OC3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,O=C1OC(=O)c2cc(Oc3cccc4c3C(=O)OC4=O)ccc21,photopolymer.30.163
DDE,"4,4'-diaminodiphenylether",C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,nan,nan,nan,photopolymer.30.163
"3,4'-ODPA;a-ODPA","3,4'-oxydiphthalic anhydride",C1=CC2=C(C(=C1)OC3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,nan,photopolymer.30.445
DSDA,"3,3',4,4'-diphenylsulfonetetracarboxylic dianhydride",C1=CC2=C(C=C1S(=O)(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,nan,photopolymer.30.445
Azo-DA,"4-(phenylazo) 3,5-di(3-aminophenyl) benzoate;4-(Phenylazo)phenyl 3,5-di(3-aminophenyl)benzoate",nan,NC=1C=C(C=CC1)C=1C=C(C(=O)OC2=CC=C(C=C2)N=NC2=CC=CC=C2)C=C(C1)C1=CC(=CC=C1)N,nan,Nc1cccc(-c2cc(C(=O)Oc3ccc(N=Nc4ccccc4)cc3)cc(-c3cccc(N)c3)c2)c1,photopolymer.30.445
BDAF,"2,2'-bis[(4-aminophenoxy)phenyl]hexafluoropropane",CC1=CC=C(C=C1)C2(C3=CC=CC=C3C4=C2C=C(C=C4)C5=CC6=C(C=C5)C7=CC=CC=C7C6(C8=CC=C(C=C8)C)C9=CC=C(C=C9)C)C1=CC=C(C=C1)C,nan,nan,nan,photopolymer.31.27
DABA,"4,4'-diaminobenzanilide",C1=CC(=CC=C1C(=O)NC2=CC=C(C=C2)N)N,NC1=CC=C(C(=O)NC2=CC=C(C=C2)N)C=C1,nan,nan,photopolymer.31.27
Cl-DABA,"2-chloro-4,4'-diaminobenzanilide",C1=CC(=CC=C1N)NC(=O)C2=C(C=C(C=C2)N)Cl,ClC1=C(C(=O)NC2=CC=C(C=C2)N)C=CC(=C1)N,nan,nan,photopolymer.31.27
"3,4'-ODPA;a-ODPA","3,4'-Oxydiphthalic anhydride",C1=CC2=C(C(=C1)OC3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,nan,photopolymer.31.587
HAB,"3,3'-dihydroxy-4,4'-diaminobiphenyl",C1=CC(=C(C=C1C2=CC(=C(C=C2)N)O)O)N,OC=1C=C(C=CC1N)C1=CC(=C(C=C1)N)O,nan,Nc1ccc(-c2ccc(N)c(O)c2)cc1O,photopolymer.31.587
6FDA,"4,4'-Hexafluoroisopropylidenedi(phthalic anhydride)",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,nan,nan,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,photopolymer.32.481
HAB,"3,3'-dihydroxy-4,4'-diaminobiphenyl",C1=CC(=C(C=C1C2=CC(=C(C=C2)N)O)O)N,OC=1C=C(C=CC1N)C1=CC(=C(C=C1)N)O,nan,Nc1ccc(-c2ccc(N)c(O)c2)cc1O,photopolymer.32.481
PMDA,pyromellitic acid dianhydride,C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O,nan,nan,nan,photopolymer.33.583
ODA,"4,4'-Diaminodiphenyl ether",C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,nan,nan,nan,photopolymer.33.583
TPE,hydroquinone bis(4-aminophenyl) ether,C1=CC(=CC=C1N)OC2=CC=C(C=C2)OC3=CC=C(C=C3)N,NC1=CC=C(C=C1)OC1=CC=C(OC2=CC=C(C=C2)N)C=C1,nan,nan,photopolymer.33.583
BAPB,"4,4'-bis(4-aminophenoxy) biphenyl",C1=CC(=CC=C1C2=CC=C(C=C2)OC3=CC=C(C=C3)N)OC4=CC=C(C=C4)N,NC1=CC=C(OC2=CC=C(C=C2)C2=CC=C(C=C2)OC2=CC=C(C=C2)N)C=C1,nan,nan,photopolymer.33.583
BTDA,"3,3',4,4'-benzophenone tetracarboxylic dianhydride",C1=CC2=C(C=C1C(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,nan,photopolymer.8.321
BAPP,"2,2-bis[4-(4-aminophenoxy)phenyl]propane",nan,NC1=CC=C(OC2=CC=C(C=C2)C(C)(C)C2=CC=C(C=C2)OC2=CC=C(C=C2)N)C=C1,nan,nan,photopolymer.8.321
BTDA,"3,3',4,4'-benzophenone tetracarboxylic dianhydride",C1=CC2=C(C=C1C(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,nan,photopolymer.8.321
BAPP,"2,2-bis[4-(4-aminophenoxy)phenyl]propane",CC(C)(C1=CC=C(C=C1)OC2=CC=C(C=C2)N)C3=CC=C(C=C3)OC4=CC=C(C=C4)N,NC1=CC=C(OC2=CC=C(C=C2)C(C)(C)C2=CC=C(C=C2)OC2=CC=C(C=C2)N)C=C1,nan,nan,photopolymer.8.321
BTDA,"3,3',4,4'-benzophenone tetracarboxylic dianhydride",C1=CC2=C(C=C1C(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,nan,photopolymer.8.321
BAPP,"2,2-bis[4-(4-aminophenoxy)phenyl]propane",CC(C)(C1=CC=C(C=C1)OC2=CC=C(C=C2)N)C3=CC=C(C=C3)OC4=CC=C(C=C4)N,NC1=CC=C(OC2=CC=C(C=C2)C(C)(C)C2=CC=C(C=C2)OC2=CC=C(C=C2)N)C=C1,nan,nan,photopolymer.8.321
6FDA,"2,2-bis(3,4-dicarboxyphenyl)hexafluoropropane dianhydride",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,nan,nan,nan,jjap.52.012601
TFDB,"2,2′-bis(trifluoromethyl)-4,4'-diaminobiphenyl",C1=CC(=C(C=C1N)C(F)(F)F)C2=C(C=C(C=C2)N)C(F)(F)F,FC(C1=C(C=CC(=C1)N)C1=C(C=C(C=C1)N)C(F)(F)F)(F)F,nan,nan,jjap.52.012601
"4,4′-ODA","4,4'-diaminodiphenyl ether;oxydianiline",C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,nan,nan,nan,jjap.52.012601
AP,"4-(4-phenyl-piperazin-1-yl)benzene-1,3-diamine",nan,C1(=CC=CC=C1)N1CCN(CC1)C1=C(C=C(C=C1)N)N,nan,Nc1ccc(N2CCN(c3ccccc3)CC2)c(N)c1,jjap.55.01aa09
ODPA,"4,4′-oxydiphthalic anhydride",C1=CC2=C(C=C1OC3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,jjap.55.01aa09
6FDA,hexafluoroisopropylidenediphthalic dianhydride;hexafluoropropanedianhydride,C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,nan,nan,nan,jjap.57.0102bf
MMDA,"4,4'-diamino-3,3'-dimethyldiphenylmethane",CC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)C)N,nan,nan,nan,jjap.57.0102bf
6FDA,"2,2-bis(3,4-dicarboxyphenyl)hexafluoropropane dianhydride",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,nan,nan,nan,jjap.52.012601
TFDB,"2,2′-bis(trifluoromethyl)-4,4'-diaminobiphenyl",C1=CC(=C(C=C1N)C(F)(F)F)C2=C(C=C(C=C2)N)C(F)(F)F,FC(C1=C(C=CC(=C1)N)C1=C(C=C(C=C1)N)C(F)(F)F)(F)F,nan,nan,jjap.52.012601
"4,4′-ODA","4,4'-diaminodiphenyl ether;oxydianiline",C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,nan,nan,nan,jjap.52.012601
AP,"4-(4-phenyl-piperazin-1-yl)benzene-1,3-diamine",nan,C1(=CC=CC=C1)N1CCN(CC1)C1=C(C=C(C=C1)N)N,nan,Nc1ccc(N2CCN(c3ccccc3)CC2)c(N)c1,jjap.55.01aa09
ODPA,"4,4′-oxydiphthalic anhydride",C1=CC2=C(C=C1OC3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,jjap.55.01aa09
6FDA,hexafluoroisopropylidenediphthalic dianhydride,C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,nan,nan,nan,jjap.57.0102bf
MMDA,"4,4'-diamino-3,3'-dimethyl diphenylmethane;4,4′-diamino-3,3′-dimethyldiphenylmethane",nan,nan,Cc1cc(NCNc2ccc(N)c(C)c2)ccc1N,nan,jjap.57.0102bf
AP,"4-(4-phenyl-piperazin-1-yl)benzene-1,3-diamine",,C1(=CC=CC=C1)N1CCN(CC1)C1=C(C=C(C=C1)N)N,,Nc1ccc(N2CCN(c3ccccc3)CC2)c(N)c1,10.7567/jjap.55.01aa09
ODPA,"4,4′-oxydiphthalic anhydride",C1=CC2=C(C=C1OC3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,,,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,10.7567/jjap.55.01aa09
6FDA,hexafluoroisopropylidenediphthalic dianhydride;hexafluoropropanedianhydride,C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,,,,10.7567/jjap.57.0102bf
MMDA,"4,4'-diamino-3,3'-dimethyldiphenylmethane",CC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)C)N,,,,10.7567/jjap.57.0102bf
